Date,Medicine name,Form of medicine,Medicine Description,Medicine Class,Qty,Whole sale pharmacy,Exp date,MRP,buying disc (%),final buying price,Pharma Company,Profit margin
29/11/2023,Huminsulin 30/70 INJ 40IU,injection,premixed insulin injection for blood sugar control in diabetes,Antidiabetic Medications,1,Frank Ross Pharmacy,04/25,174,17.00,144.42,Eli Lilly and company India Pvt Ltd,0.17
29/11/2023,Naprosyn 500+ tab,tablet,a nonsteroidal anti-inflammatory drug used to relieve pain and inflammation.,NSAIDs / Analgesics,1,Frank Ross Pharmacy,10/25,86.85,18.00,71.217,RPG lifesciences Ltd,0.18
30/06/2024,Stemetil MD tab,tablet,"used to treat nausea, vomiting, and dizziness.",Antiemetics,1,Sarkar Medicine Agency,07/25,172.7,23.00,133,Abbott,0.2298784019
30/06/2024,Nestum 2 rice dal veg,baby food,"nutritious baby food made with rice, dal, and vegetables",Infant Nutrition / Baby Food,1,Sarkar Medicine Agency,,209,8.00,192.28,Nestle,0.08
30/06/2024,Gemer P2,tablet,used to manage blood sugar levels in people with type 2 diabetes,Antidiabetic Medications,1,Sarkar Medicine Agency,02/26,192,23.00,147.84,Sun Pharmaceutical Industries Ltd,0.23
09/07/2024,Betadine Lotion,antiseptic solution,antiseptic solution used to clean and disinfect minor wounds,Antiseptics,1,Zaman Medicine Agency,04/26,107.52,16.00,90.32,Win-Medicare Pvt Ltd,0.1599702381
09/07/2024,Lizomac tab,tablet,"antibiotic used to treat bacterial infections, commonly prescribed for respiratory and gastrointestinal infections",Antibiotics,1,Zaman Medicine Agency,12/26,399.39,22.39,309.98,Macleods Pharmaceuticals Pvt Ltd,0.2238663963
09/07/2024,Dalacin C 300mg,capsule,"antibiotic used to treat various bacterial infections, including skin, respiratory, and dental infections.",Antibiotics,1,Zaman Medicine Agency,10/28,297,15.33,251.48,Pfizer Ltd,0.1532659933
21/06/2024,Glycomet-GP 1,tablet,used to manage blood sugar levels in people with type 2 diabetes,Antidiabetic Medications,2,Sarkar Medicine Agency,12/25,122,28.57,87.15,USV Ltd,0.2856557377
19/08/2024,Acemiz Plus,tablet,Pain reliever for inflammation,NSAIDs / Analgesics,5,Zaman Medicine Agency,02/26,99.5,84.92,15,Lupin Ltd,0.8492462312
19/08/2024,Cetil Dry syp,syrup,Antibiotic for bacterial infections in children,Antibiotics,1,Zaman Medicine Agency,06/25,177,22.21,137.68,Lupin Ltd,0.2221468927
19/08/2024,Lizolid 600 mg tab,tablet,Antibiotic for severe bacterial infections.,Antibiotics,1,Zaman Medicine Agency,04/26,399,22.40,309.63,Integrace Pvt Ltd,0.2239849624
19/08/2024,Ascoril D junior,syrup,Cough syrup for dry cough in children.,Cough Syrup,2,Zaman Medicine Agency,07/25,107,27.57,77.5,Glenmark Pharmaceuticals Ltd,0.2757009346
19/08/2024,Moxclav BD syp ,syrup,Antibiotic for bacterial infections in kids.,Antibiotics,2,Zaman Medicine Agency,10/25,67.53,22.38,52.42,Sun Pharmaceutical Industries Ltd,0.2237524063
19/08/2024,Medisalic Oint,cream,Cream for skin infections and inflammation.,Antibiotics,2,Zaman Medicine Agency,02/26,159,65.41,55,Torque Pharmaceuticals Pvt Ltd,0.6540880503
19/08/2024,Cepodem 200mg tab,tablet,Antibiotic for bacterial infections.,Antibiotics,1,Zaman Medicine Agency,09/26,199,30.16,138.99,Sun Pharmaceutical Industries Ltd,0.3015577889
